#Nicaragua
Managua, Nicaragua
Granada, Nicaragua
León, Nicaragua
Masaya, Nicaragua
Chinandega, Nicaragua
Estelí, Nicaragua
Matagalpa, Nicaragua
Ciudad Sandino, Nicaragua
Tipitapa, Nicaragua

#Honduras
Tegucigalpa, Honduras
San Pedro Sula, Honduras
Choloma, Honduras
El Progreso, Honduras
La Ceiba, Honduras
Choluteca, Honduras
Puerto Cortes, Honduras
Villanueva, Honduras
Danlí, Honduras

#El Salvador
San Salvador, El Salvador
Santa Ana, El Salvador
Soyapango, El Salvador
San Miguel, El Salvador
Ahuachapán, El Salvador
Ilopango, El Salvador
Santa Tecla, El Salvador
Apopa, El Salvador
Delgado, El Salvador

#Costa Rica
San Jose, Costa Rica
Alajuela, Costa Rica
Cartago, Costa Rica
Limon, Costa Rica
Desamparados, Costa Rica
San Carlos, Costa Rica
Pérez Zeledón, Costa Rica

#Guatemala
Ciudad de Guatemala, Guatemala
Mixco, Guatemala
Villa Nueva, Guatemala
Quetzaltenango, Guatemala
Escuintla, Guatemala
Cobán, Guatemala
Jalapa, Guatemala
Villa Canales, Guatemala
Jutiapa, Guatemala
Chimaltenango, Guatemala
Huehuetenango, Guatemala

#Panamá
Ciudad de Panamá, Panamá
San Miguelito, Panamá
Arraiján, Panamá
David, Panamá
Colón, Panamá
La Chorrera, Panamá
Juan Díaz, Panamá

#Norte
Tijuana, México
Mexicali, México
Ensenada, México
Rosarito, México
La Paz, México
Cabo San Lucas, México
San José del Cabo, México
Ciudad Juárez, México
Chihuahua, México
Delicias, México
Cuauhtémoc, México
Hidalgo del Parral, México
Durango, México
Culiacán Rosales, México
Mazatlán, México
Los Mochis, México
Guasave, México
Hermosillo, México
Ciudad Obregón, México
Heroica Nogales, México
San Luis Río Colorado, México
Navojoa, México
Heroica Guaymas, México
Reynosa, México
Heroica Matamoros, México
Nuevo Laredo, México
Ciudad Victoria, México
Monterrey, México
Saltillo, México
Torreón, México
Monclova, México
Piedras Negras, México
Ciudad Acuña, México
Tampico, México

#Occidente
Aguascalientes, México
Colima, México
Manzanillo, México
Villa de Álvarez, México
León de los Aldama, México
Irapuato, México
Celaya, México
Salamanca, México
Guanajuato, México
San Miguel de Allende, México
Guadalajara, México
Puerto Vallarta, México
Ciudad Guzmán, México
Tepatitlán de Morelos, México
Morelia, México
Uruapan, México
Zamora de Hidalgo, México
Lázaro Cárdenas, México
Apatzingán de la Constitución, México
Tepic, México
Santiago de Querétaro, México
San Juan del Río, México
San Luis Potosí, México
Ciudad Valles, México

#Centro
Ciudad de México, México
Toluca de Lerdo, México
Metepec, México
Pachuca de Soto, México
Tulancingo de Bravo, México
Tizayuca, México
Cuernavaca, México
Jiutepec, México
Heroica Cuautla, México
Puebla de Zaragoza, México
Tehuacán, México
San Martín Texmelucan de Labastida, México
Zacatecas, México
Fresnillo, México
Veracruz, México
Xalapa-Enríquez, México
Poza Rica de Hidalgo, México
Córdoba, México
Orizaba, México

#Sur
San Francisco de Campeche, México
Ciudad del Carmen, México
Tuxtla Gutiérrez, México
Tapachula de Córdova y Ordóñez, México
San Cristóbal de las Casas, México
Comitán de Domínguez, México
Acapulco de Juárez, México
Chilpancingo de los Bravo, México
Iguala de la Independencia, México
Zihuatanejo, México
Oaxaca de Juárez, México
San Juan Bautista Tuxtepec, México
Cancún, México
Playa del Carmen, México
Chetumal, México
Villahermosa, México
Heroica Cárdenas, México
Comalcalco, México
Coatzacoalcos, México
Minatitlán, México
Mérida, México
